Registrikood;Nimi;Tööjõumaksud Ja Maksed;Tootajaid;YearQ
90004585;VILJANDI HAIGLA SIHTASUTUS;1492426;911;18ii
10047362;TREV-2 GRUPP AS;1480175;419;18ii
75026106;RAE VALLAVALITSUS;1473184;88;18ii
75026106;RAE VALLAVALITSUS;1461049;89;18iv
10528765;VKG OIL AS;1448955;682;18i
10391131;NORTAL AS;1446989;341;18iv
74000101;RIIGIKOGU KANTSELEI;1441989;373;18i
11575850;AS OPERAIL;1441138;694;18iii
74000101;RIIGIKOGU KANTSELEI;1439788;360;18iii
11488826;DANSKE BANK A/S EESTI FILIAAL;1431860;261;18iv
10349560;TALLINNA LENNUJAAM AS;1425808;371;18i
10247977;JELD-WEN EESTI AS;1422917;748;18iii
12203636;MERKO EHITUS EESTI AS;1419951;304;18iv
10633284;ENEFIT SOLUTIONS AS;1415417;933;18i
10282927;HARMET OÜ;1409211;488;18iii
10163950;SAINT-GOBAIN GLASS ESTONIA SE;1404692;561;18ii
10391131;NORTAL AS;1403899;333;18iii
10052966;VILJANDI AKEN JA UKS AS;1401019;633;18iv
11958539;PIPEDRIVE OÜ;1399635;280;18i
74000174;EESTI PANK;1395263;338;18ii
75021250;VIIMSI VALLAVALITSUS;1394976;170;18iii
90008287;INNOVE SIHTASUTUS;1393042;766;18i
11958539;PIPEDRIVE OÜ;1392857;295;18ii
10052966;VILJANDI AKEN JA UKS AS;1392843;649;18iii
11045112;ENICS EESTI AS;1388360;725;18ii
77000430;SAUE VALLAVALITSUS;1375219;182;18iv
11575850;EVR CARGO AS;1372359;673;18i
12203636;MERKO EHITUS EESTI AS;1370802;308;18iii
77000430;SAUE VALLAVALITSUS;1369076;196;18iii
10093971;COOP EESTI KESKÜHISTU;1368088;620;18iii
10047362;TREV-2 GRUPP AS;1367027;397;18iii
90008287;INNOVE SIHTASUTUS;1363392;836;18ii
75014920;TALLINNA LINNAKANTSELEI;1363150;343;18i
10120596;WENDRE AS;1360959;825;18i
10247977;JELD-WEN EESTI AS;1358696;824;18i
10114029;YIT INFRA EESTI AS;1358100;311;18iv
74000101;RIIGIKOGU KANTSELEI;1356402;368;18ii
10163950;SAINT-GOBAIN GLASS ESTONIA SE;1355939;536;18i
10163950;SAINT-GOBAIN GLASS ESTONIA SE;1355579;540;18iv
